experiment_name,learning_rate,lambda_param,n_epochs,batch_size,final_loss,train_time_sec,predict_time_sec,accuracy,precision,recall,f1,TP,TN,FP,FN,n_train,n_test,n_features_after_encoding
baseline_original_train,0.001,0.01,300,128,0.4660790700638373,3.206644374999996,0.00031462600000509156,0.8009950248756219,0.6566666666666666,0.5267379679144385,0.5845697329376854,197,930,103,177,5625,1407,45
oversampled_train,0.001,0.01,300,128,0.5376999065120074,5.49790796100001,0.0007452989999876536,0.7348969438521677,0.500805152979066,0.8315508021390374,0.6251256281407035,311,723,310,63,8260,1407,45
