model,accuracy,precision,recall,f1,training_time_sec,prediction_time_sec,memory_usage_mb,TP,TN,FP,FN,notes
Logistic Regression,0.673773987206823,0.4432576769025367,0.8877005347593583,0.591273374888691,2.376370971999989,0.000190702999987,0.47613525390625,332,616,417,42,threshold=0.36
KNN,0.7860696517412935,0.6070381231671554,0.553475935828877,0.579020979020979,0.0004257200016581,1.5291192080003384,1.9741058349609373,207,899,134,167,best_k=11
Linear SVM,0.7348969438521677,0.500805152979066,0.8315508021390374,0.6251256281407035,2.371825139000066,0.0005093179988762,2.89886474609375,311,723,310,63,oversampled_train
