model,threshold,accuracy,precision,recall,f1,f2,business_cost,tn,fp,fn,tp,training_time_sec,prediction_time_sec,peak_memory_mb
Baseline LR t=0.50,0.5,0.7981520966595593,0.65,0.5213903743315508,0.5786350148367952,0.5428730512249442,1000,928,105,179,195,1.7423864769999966,0.0004381919999900674,0.4793834686279297
Oversampled LR t=0.50,0.5,0.7562189054726368,0.527336860670194,0.7994652406417112,0.6354941551540914,0.7246728065923412,643,765,268,75,299,2.3627789800000016,0.0002410760000088885,0.6998214721679688
Class-weighted LR t=0.50,0.5,0.7555081734186212,0.5264084507042254,0.7994652406417112,0.634819532908705,0.7243217054263567,644,764,269,75,299,2.31244661300002,0.00021479699998394608,0.47833251953125
Novel weighted LR t=0.36,0.36,0.673773987206823,0.4432576769025367,0.8877005347593583,0.591273374888691,0.7394209354120267,627,616,417,42,332,2.3763709719999895,0.00019070299998702467,0.47613525390625
