model,threshold,accuracy,precision,recall,f1,f2,business_cost,tn,fp,fn,tp,training_time_sec,prediction_time_sec,peak_memory_mb
Baseline LR t=0.50,0.5,0.7981520966595593,0.65,0.5213903743315508,0.5786350148367952,0.5428730512249442,1000,928,105,179,195,0.7483788770005049,0.00011983799959125463,0.4880046844482422
Oversampled LR t=0.50,0.5,0.757640369580668,0.5291005291005291,0.8021390374331551,0.6376195536663125,0.7270964614638875,637,766,267,74,300,1.0014053089998924,0.00011918799918930745,0.69976806640625
Class-weighted LR t=0.50,0.5,0.7555081734186212,0.5264084507042254,0.7994652406417112,0.634819532908705,0.7243217054263567,644,764,269,75,299,0.9969053479999275,7.416700009343913e-05,0.47841644287109375
Novel weighted LR t=0.36,0.36,0.673773987206823,0.4432576769025367,0.8877005347593583,0.591273374888691,0.7394209354120267,627,616,417,42,332,0.9978079379998235,0.0001071659999070107,0.4762420654296875
