k,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
11,0.7770666666666667,0.017881917206020236,0.5882054719988392,0.037590644140382094,0.5391304347826087,0.031851688162699995,0.5625184918945176,0.033607732693714774
7,0.7712,0.015027218104180744,0.5740169263285837,0.032149422625378524,0.5444816053511705,0.023696307135676702,0.5586176381072084,0.024511113395450614
9,0.7708444444444444,0.016176800947309937,0.5735658657483795,0.03371100001146974,0.5404682274247492,0.027129498047723383,0.5563793168951506,0.02849719989255424
5,0.7594666666666667,0.017243069819209183,0.5514661031323138,0.037630154854203866,0.5244147157190635,0.022109021914432658,0.5370775547798641,0.023510731922340038
3,0.7400888888888889,0.01032030241685331,0.5123825173392763,0.02080792243383526,0.5023411371237458,0.023459100891973485,0.5066754608124462,0.010356006135247751
1,0.7173333333333334,0.016736151452233592,0.46989349981521283,0.03030074098058809,0.49297658862876254,0.045588118291341066,0.4806553608537977,0.0335046004349672
