experiment_name,learning_rate,lambda_param,n_epochs,batch_size,final_loss,train_time_sec,predict_time_sec,accuracy,precision,recall,f1,balanced_accuracy,tnr,tp,tn,fp,fn
baseline_original_train,0.001,0.01,300,128,0.4660744965579884,0.516143299988471,4.3500098399817944e-05,0.8002842928216063,0.6555183946488294,0.5240641711229946,0.5824665676077266,0.7121772936931527,0.9002904162633107,196,930,103,178
oversampled_train,0.001,0.01,300,128,0.5397315811012434,0.8062239999417216,0.00010040006600320339,0.7427149964463398,0.5099009900990099,0.8262032085561497,0.6306122448979592,0.7693455539392559,0.712487899322362,309,736,297,65
oversampled_stronger_reg,0.001,0.05,350,128,0.5596582845060224,0.8589156999951228,6.369990296661854e-05,0.7405828002842928,0.5074135090609555,0.8235294117647058,0.6279306829765545,0.7670406013324982,0.7105517909002904,308,734,299,66
