iter	Accuracy	Logloss
110	0.8634348497	0.3244746632
111	0.8630493446	0.3241817238
112	0.8635312259	0.3240382972
113	0.8634348497	0.3234674827
114	0.8636276022	0.323224803
115	0.8636276022	0.3228327909
116	0.8640131072	0.3220949383
117	0.8640131072	0.3219654645
118	0.8642058597	0.3217535531
119	0.8644949884	0.3215319169
120	0.8646877409	0.3214027231
121	0.8646877409	0.3212078699
122	0.8647841172	0.3210295167
123	0.8648804934	0.3207823784
124	0.8648804934	0.3205835421
125	0.8649768697	0.3202665474
126	0.8651696222	0.319671061
127	0.8651696222	0.3193915677
128	0.8652659985	0.3191118416
129	0.8652659985	0.3191094983
130	0.8653623747	0.3185015455
131	0.865458751	0.3183661262
132	0.8655551272	0.3181395728
133	0.8656515035	0.3178948553
134	0.8655551272	0.3178606333
135	0.8657478797	0.3176827051
136	0.865458751	0.3175071623
137	0.8655551272	0.3173832963
138	0.8655551272	0.3172265563
139	0.8657478797	0.3167986862
140	0.865844256	0.3166010449
141	0.8660370085	0.3163716888
142	0.8663261372	0.3161539321
143	0.866229761	0.3159904422
144	0.8664225135	0.3155554127
145	0.8665188897	0.3154190367
146	0.866615266	0.315178728
147	0.866615266	0.3147361248
148	0.8664225135	0.3146037352
149	0.8668080185	0.3144375322
150	0.8669043948	0.3142275283
151	0.867000771	0.3140248092
152	0.867000771	0.3140220743
153	0.8672898998	0.3138504994
154	0.8670971473	0.3134337452
155	0.8671935235	0.3132573565
156	0.8675790285	0.3127207699
157	0.8674826523	0.3126022314
158	0.8678681573	0.312377924
159	0.8679645335	0.3121103003
160	0.8682536623	0.3119414354
161	0.8680609098	0.3117307334
162	0.8679645335	0.3112971054
163	0.868157286	0.3111065401
164	0.8682536623	0.3110112661
165	0.8684464148	0.3107797969
166	0.8686391673	0.3106286415
167	0.8690246723	0.3104081211
168	0.8689282961	0.3103475238
169	0.8689282961	0.3101855034
170	0.8690246723	0.3098367548
171	0.8692174248	0.3097011485
172	0.8695065536	0.3095294343
173	0.8695065536	0.3095279045
174	0.8691210486	0.3092430485
175	0.8693138011	0.3088686943
176	0.8694101773	0.3088137911
177	0.8695065536	0.308672766
178	0.8696993061	0.308437241
179	0.8695065536	0.308346281
180	0.8698920586	0.3081437463
181	0.8700848111	0.3079281569
182	0.8700848111	0.3077608454
183	0.8700848111	0.3076566708
184	0.8701811874	0.3074063455
185	0.8705666924	0.306977635
186	0.8704703161	0.3069730832
187	0.8705666924	0.3065125619
188	0.8705666924	0.3062696628
189	0.8705666924	0.3060668203
190	0.8709521974	0.3059284211
191	0.8709521974	0.3058924282
192	0.8709521974	0.3056701864
193	0.8718195837	0.3053549843
194	0.8719159599	0.305333307
195	0.8719159599	0.3052121856
196	0.8720123362	0.3050827624
197	0.8716268311	0.3047398196
198	0.8715304549	0.304612364
199	0.8715304549	0.3044939948
200	0.8717232074	0.3040256611
201	0.8716268311	0.3038643267
202	0.8720123362	0.303450847
203	0.8719159599	0.3032574512
204	0.8720123362	0.3031816193
205	0.8721087124	0.3030190797
206	0.8720123362	0.3027479194
207	0.8720123362	0.3027459915
208	0.8720123362	0.3027432367
209	0.8723014649	0.3025545884
210	0.8725905937	0.3024142605
211	0.8726869699	0.3020885596
212	0.8726869699	0.3019672039
213	0.8726869699	0.3019550153
214	0.8727833462	0.3018612973
215	0.8727833462	0.3018563215
216	0.8731688512	0.3015882961
217	0.8731688512	0.3015788867
218	0.8735543562	0.3015094957
219	0.8737471087	0.301399039
220	0.8737471087	0.3013892436
221	0.8737471087	0.3013754551
222	0.8737471087	0.3013462765
223	0.8737471087	0.3013416125
224	0.8737471087	0.3013276615
225	0.8736507325	0.3012062837
226	0.8737471087	0.3011631252
227	0.8737471087	0.3011361906
228	0.8737471087	0.3009938624
229	0.8737471087	0.300992235
230	0.8737471087	0.3008299122
231	0.8740362375	0.300619382
232	0.8740362375	0.3005975435
233	0.8741326137	0.3003898823
234	0.8741326137	0.3003733227
235	0.8741326137	0.3000669628
236	0.8744217425	0.2998021757
237	0.8744217425	0.2997967442
238	0.8744217425	0.2997817637
239	0.8745181187	0.2997025575
240	0.8747108712	0.29955025
241	0.8750963763	0.2992136703
242	0.8751927525	0.2988946814
243	0.8755782575	0.2983567242
244	0.875385505	0.2982220827
245	0.8754818813	0.2980840395
246	0.8756746338	0.2978570071
247	0.8756746338	0.2978449289
248	0.8760601388	0.2976224266
249	0.8759637625	0.2976175788
250	0.8764456438	0.297463332
251	0.8763492675	0.2971465891
252	0.8764456438	0.2970067125
253	0.8759637625	0.296871571
254	0.8762528913	0.2966165703
255	0.8762528913	0.2966141041
256	0.876156515	0.2964026172
257	0.876156515	0.2962859576
258	0.876156515	0.2960343618
259	0.8766383963	0.2957327058
260	0.8762528913	0.2955452607
261	0.8759637625	0.2953986438
262	0.8759637625	0.2952711723
263	0.8760601388	0.2951281998
264	0.876156515	0.295071681
265	0.876156515	0.2949770531
266	0.8764456438	0.29480514
267	0.8766383963	0.2946649274
268	0.8766383963	0.2946567091
269	0.8769275251	0.2944573796
270	0.8768311488	0.2944436163
271	0.8767347726	0.2942987132
272	0.8767347726	0.2942939921
273	0.8766383963	0.2940799412
274	0.8767347726	0.2939113436
275	0.8770239013	0.2936792653
276	0.8771202776	0.293415711
277	0.8771202776	0.2934001817
278	0.8771202776	0.2932811829
279	0.8769275251	0.2931606304
280	0.8772166538	0.2930494376
281	0.8773130301	0.2930411451
282	0.8772166538	0.2929535487
283	0.8775057826	0.2927385295
284	0.8776985351	0.2927361326
285	0.8776985351	0.2925430913
286	0.8778912876	0.2923479286
287	0.8778912876	0.2921641659
288	0.8777949113	0.2919798542
289	0.8777949113	0.2918632146
290	0.8777949113	0.2918576186
291	0.8778912876	0.2917236339
292	0.8782767926	0.2915771105
293	0.8782767926	0.2915747521
294	0.8778912876	0.2914461487
295	0.8778912876	0.2914369511
296	0.8778912876	0.2913424174
297	0.8780840401	0.2911411092
298	0.8780840401	0.2910342791
299	0.8780840401	0.2910246849
300	0.8784695451	0.2908082771
301	0.8787586739	0.290689037
302	0.8788550501	0.2905195697
303	0.8788550501	0.2902994311
304	0.8788550501	0.2902229162
305	0.8788550501	0.2902082431
306	0.8790478026	0.290001954
307	0.8790478026	0.2899956284
308	0.8788550501	0.2898810168
309	0.8788550501	0.2898771754
310	0.8789514264	0.2897274117
311	0.8790478026	0.2895103851
312	0.8789514264	0.2893085768
313	0.8791441789	0.2892215232
314	0.8791441789	0.2890634432
315	0.8793369314	0.2889851389
316	0.8793369314	0.2889777456
317	0.8793369314	0.2888620057
318	0.8796260601	0.2886457422
319	0.8795296839	0.2885076346
320	0.8796260601	0.2883133714
321	0.8796260601	0.2883103808
322	0.8795296839	0.2881382168
