experiment_name,learning_rate,lambda_param,n_epochs,batch_size,final_loss,train_time_sec,predict_time_sec,accuracy,precision,recall,f1,TP,TN,FP,FN,balanced_accuracy,tnr,tp,tn,fp,fn,n_train,n_test,n_features_after_encoding,estimated_memory_usage_mb
baseline_original_train,0.001,0.01,300,128,0.4660744965579884,1.1780790860002526,0.0002075829997920664,0.8002842928216063,0.6555183946488294,0.5240641711229946,0.5824665676077266,196,930,103,178,0.7121772936931527,0.9002904162633107,196,930,103,178,5625,1407,45,1.9741058349609375
oversampled_train,0.001,0.01,300,128,0.5397315811012434,1.7417001630001323,9.680499988462543e-05,0.7427149964463398,0.5099009900990099,0.8262032085561497,0.6306122448979592,309,736,297,65,0.7693455539392559,0.712487899322362,309,736,297,65,8260,1407,45,2.89886474609375
